"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Formoso do Araguaia","Biblioteca Pública Municipal Antônio Bittar Filho","Municipal","Praça São João Batista, s/n","Centro","(63)3357-2726",""
"Fortaleza do Tabocão","Biblioteca Pública Municipal Vinicius Bernardes Ribeiro","Municipal","Rua Flamboyant, s/n","Centro","(63)3440-1208",""
"Goianorte","Biblioteca Pública Municipal Catarino Jose de Freitas ","Municipal","Rua Deusdete Rocha, s/n","Centro","",""
"Goiatins","Biblioteca Pública Municipal Gregório de Assis","Municipal","Avenida Sousa Porto, s/n","Centro","",""
"Guaraí","Biblioteca Publica Municipal Maria Noronha Carvalho","Municipal","Avenida Tocantins, 3113","Setor Central","(63)3464-1364"," bibliotecamarianoronha@hotmail.com"
"Gurupi","Biblioteca Pública Municipal Professora Deusina Martins Ribeiro","Municipal","Avenida Maranhão, 1507","Centro","(63)3315-0075",""
"Ipueiras","Biblioteca Pública Municipal Jorge Amado","Municipal","Rua Raimundo Pinto, s/n","Setor Central","(63)3536-1075",""
"Itacajá","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Avenida Pedro Ludovico, s/n","Centro","(63)3439-1415",""
"Itaguatins","Biblioteca Pública Municipal Professor Caetana Costa","Municipal","Rua Coronel Augusto Bastos, s/n","Centro","(63)3477-1253",""
"Itapiratins","Biblioteca Pública Municipal Rita Alves Pires","Municipal","Avenida Benedito Pires, 69","Centro","(63)3465-1151",""
"Itaporã do Tocantins","Biblioteca Pública Municipal Cora Coralina","Municipal","Rua Floriano Peixoto, s/n","Centro","(63)3458-1100",""
"Jaú do Tocantins","Biblioteca Pública Municipal Dona Ivone G. Martins","Municipal","Avenida B, Esquerda com Rua 02, Quadra-04, 96","Centro","(63)3387-1122",""
"Juarina","Biblioteca Pública Municipal José Donato da Silva","Municipal","Rua Rui Barbosa, s/n","Centro","(63)3434-1134","prefeituradejuarina@hotmail.com"
"Lagoa da Confusão","Biblioteca Pública Municipal Lagoa Da Confusão ","Municipal","Rua Firmino Lacerda, 025 ","Setor Central","(63)3364-1898 / 3364-1720","lazarogabriel2@hotmail.com "
"Lagoa do Tocantins","Biblioteca Pública Municipal Fonte do Saber","Municipal","Avenida Manoel Alves, s/n","Centro","(63)3522-1187",""
"Lajeado","Biblioteca Pública Municipal ","Municipal","Avenida Sérgio Nogueira, 2.035","Central","(63)3519-1176 / 3519-1020","smelajeado@yahoo.com.br"
"Lavandeira","Biblioteca Pública Municipal Moura Serafim","Municipal","Avenida Airton Senna, s/n","Centro","(63)3692-1001",""
"Lizarda","Biblioteca Pública Municipal Cívica, Literária e Religiosa","Municipal","Rua 4, 242","Centro","",""
"Luzinópolis","Biblioteca Pública Municipal de Luziópolis","Municipal","Rua João Marciano, s/n","","",""
"Marianópolis do Tocantins","Biblioteca Pública Municipal Princesa Izabel","Municipal","Rua Geraldo Alvarenga, s/n","Centro","(63)3535-1250",""
"Mateiros","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Rua 5, s/n","Centro","(63)3534-1008",""
"Maurilândia do Tocantins","Biblioteca Pública Municipal Padre Luís Betiol","Municipal","Rua Goiás, s/n","Centro","(63)3380-1105",""
"Miracema do Tocantins","Biblioteca Pública Municipal de Miracema do Tocantins","Municipal","Rua Lourdes Solino, s/n  ","Setor Central","(63) 3366-8608","bibliomira@uft.edu.br"
"Miranorte","Biblioteca Pública Municipal","Municipal","Avenida Bernardo Sayão, 226","Centro","(63)3366-8608",""
"Monte Santo do Tocantins","Biblioteca Pública Municipal de Monte Santo do Tocantins","Municipal","Rua Codespar, s/n","Cetnro","(63)8464-1569","esc.municipal@gmail.com"
"Muricilândia","Biblioteca Pública Municipal Machado de Assis","Municipal","Rua Avenida Goiás, s/n","Setor Central","(63) 3429-1157","depaulaps@hotmail.com"
"Natividade","Biblioteca Pública Municipal Zacarias Nunes da Silveira","Municipal","Rua Coronel Deocleciano Nunes, s/n","Centro","(63)3372-1113",""
"Nazaré","Bibliote Pública Municipal Maria Sonia Pereira da Silva ","Municipal","Avenida 10 de Janeiro, s/n ","Centro","(63)3455-1185",""
"Nova Olinda","Biblioteca Pública Municipal Professor Sidoníla Ribeiro da Silva","Municipal","Rua José de Moraes, 868","Centro","",""
"Nova Rosalândia","Blioteca Pública Municipal Professor José Maciel de Andrade","Municipal","Avenida Amazonas, s/n","","(63)3520-1203","smenovaros@yahoo.com.br"
"Novo Acordo","Biblioteca Pública Municipal Elson Lino de Aguiar","Municipal","Avenida Bernardo Sayão, Praça Firmo Nestor ","","(63)3369-1366","seduc.novoacordo@hotmail.com"
"Novo Alegre","Biblioteca Pública Municipal Professora Flaunisse da Silva ","Municipal","Praça São Francisco de Assis, s/n","Centro","(63)3695-1147",""
"Novo Jardim","Biblioteca Pública Municipal Sonho da Sabedoria ","Municipal ","Avenida João Batista Siqueira, s/n ","Centro","(63)3696-1177",""
"Oliveira de Fátima","Biblioteca Pública Municipal de Oliveira Fátima","Municipal","Avenida Bernardo Sayao, s/n","","",""
"Palmas","Biblioteca Pública Municipal de Taquaralto","Municipal","Rua 04, Qd-2A, lote-01","Taquaralto","(63)3218-5522",""
"Não identificado","Biblioteca Pública Municipal Professora Maria dos  Reis","Municipal","Praça Joaquim Maracaípe, s/n","Taquaruçu","",""
"Palmeirante","Biblioteca Pública João Pereira da Silva ","Municipal","Rua 7 de Setembro, s/n ","","",""
"Palmeiras do Tocantins","Biblioteca Pública Municipal de Palmeiras do Tocantins ","Municipal","","","",""
"Palmeirópolis","Biblioteca Publica Municipal Professora aparecida Barros ","Municipal","Praça Limírio Viana Guimarães, s/n","Centro","6384274371",""
"Paraíso do Tocantins","Biblioteca Pública Municipal Cora Coralina ","Municipal","Praça José Torres, s/n","Centro","(63)8427-4371",""
"Paranã","Biblioteca Pública Municipal Professora Justina","Municipal","Praça da Bandeira, 246","Centro","(63)3371-1472",""
"Pau D'Arco","Biblioteca Pública Municipal Rui Barbosa ","Municipal","Avenida São Domingos Gusmão, 321","Centro","(63)3425-1249",""
"Pedro Afonso","Biblioteca Pública Municipal Telmo Sebastião Ribeiro Lima","Municipal","Praça Serapião","Setor Central","(63)341774","bibliotecatelmosebastiao@hotmail.com"
"Peixe","Biblioteca Pública Municipal de Peixe ","Municipal","Rua Napoleão de Queiroz, s/n","Centro","(63)3356-1750",""
"Pequizeiro","Biblioteca Pública Municipal Roseli do Carmilo Luce ","Municipal","Avenida Salgado Filho, s/n ","","(63)3427-1263",""
"Pindorama do Tocantins","Biblioteca Pública Municipal Nini Ribeiro Borges","Municipal","Rua Benvindo Belém, s/n","Centro","(63)3375-1106",""
"Piraquê","Biblioteca Pública Municipal Padre Antônio","Municipal","Avenida César Batista Nepomuceno, s/n","Centro","(63)3479-1135",""
"Ponte Alta do Bom Jesus","Biblioteca Pública Municiopal Professora Imelda Medeiros","Municipal","Avenida Tiradentes, s/n","Centro","(63)3378-1287",""
"Não identificado","Biblioteca Pública Municipal Tito José Freire","Municipal","Rua Deputado Freire, 630","Centro","6336591317",""
"Ponte Alta do Tocantins","Biblioteca Pública Municipal Ozimar Alves Dias","Municipal","Avenida Manoel Monteiro, s/n","Setor Central","(63) 3378-1287","smeponte@gmail.com"
"Porto Alegre do Tocantins","Biblioteca Pública Municipal Ana Cardoso Araújo","Municipal","Setor Alto da Glória - Rua A","Centro","(63)3524-1080",""
"Porto Nacional","Biblioteca Pública Municipal Eli Brasiliense ","Municipal","Rua Bartolomeu Bueno, s/n","Centro","(63)3363-3025",""
"Praia Norte","Biblioteca Pública Municipal Vanilson Félix","Municipal ","","","",""
"Presidente Kennedy","Bibliooteca Pública Municipalde Presidente Kennedy","Municipal","Rua 8, s/n","Centro","6334651405",""
"Pugmil","Biblioteca Pública Municipal Monteiro Lobato ","Municipal","Rua 12, s/n","Centro","6333971170",""
"Recursolândia","Biblioteca Pública Municipal Ulisses Guimarães","Municipal","Praça José Tavares, s/n","Centro","(63)3438-1213",""
"Riachinho","Biblioteca Pública Municipal José Borges dos Santos Zeli","Municipal","Praça dos Três Poderes, s/n","Centro","6334431203",""
"Rio da Conceição","Biblioteca Pública Municipal Castro Alves","Municipal","Rua dos Coroas, s/n","Centro","(63)3691-1149",""
"Rio dos Bois","Biblioteca Pública Municipal Maria Neuza Pereira Brito","Municipal","Avenida Bernardo Sayão, s/n","Centro","",""
"Rio Sono","Biblioteca Pública Municipal Demervil Bezerra","Municipal","Avenida Demervil Bezerra, s/n","Novo Horizonte","",""
"Sampaio","Biblioteca Pública municipal de Sampaio","Municipal","Rua Manoel Matos, s/n","Setor Central","(63) 3436-1170","anacletoconta@hotmail.com"
"Sandolândia","Biblioteca Pública Municipal Paulo Freire","Municipal","Avenida Doutor Ulisses Guimarães, s/n ","","(63)3394-1130",""
"Santa Fé do Araguaia","Biblioteca Pública Municipal Rui Barbosa","Municipal","Avenida Araguaia, s/n","Centro","",""
"Santa Maria do Tocantins","Biblioteca Pública Municipal Isabel Botelho","Municipal","Avenida Francisco de Assis, s/n","Centro","(63)3441-1272",""
"Santa Rita do Tocantins","Biblioteca Pública Municipal Sady Longhi","Municipal","Rua Vinte e Dois de Maio, s/n","Centro","(63)3363-5063",""
"Não identificado","Biblioteca Pública Municipal Margarida Rodrigues Soares","Municipal","Avenida André Nunes, s/n","Centro","6392082334",""
"Santa Tereza do Tocantins","Biblioteca Pública Municipal João Cardoso dos Santos","Municipal","Avenida Marechal Castelo Branco, s/n","Centro","",""
"Santa Terezinha do Tocantins","Biblioteca Pública Municipal Antônio Gonçalves dos Santos","Municipal","Rua Nerina Sousa Santana, s/n","Centro","(63)345-1150",""
"São Bento do Tocantins","Biblioteca Pública Municipal Maria de Souza Lima","Municipal","Praça Osvaldo Franco, 62 ","Centro","(63) 845-1181 ",""
"São Félix do Tocantins","Biblioteca Pública Municipal Rivadávio Mascacarenhas ","Municipal","Avenida Doutor Rubinho, 11 - Qd-29","Centro","6335761096",""
"São Miguel do Tocantins","Biblioteca Pública Municipal Vagmar Gomes dos Santos","Municipal","Rua Afonso Pena, s/n","Centro","6334471140",""
"São Salvador do Tocantins","Biblioteca Pública Municipal Professor Bernadino Costa da Silva ","Municipal","Avenida Tocantins, s/n","Centro","(63)3396-1276",""
"São Sebastião do Tocantins","Biblioteca Pública Municipal Padre Stanislaw Suderski","Municipal","Avenida Imperatriz, s/n","Centro","(63)3426-1201",""
"São Valério","Biblioteca Pública Municipal Professora Alras","Municipal","Avenida Ayrton Senna, s/n","Setor Aeroporto","6333591266",""
"Silvanópolis","Biblioteca Pública Municipal Donilia Batista do Bonfim ","Municipal","Avenida Sexta Avenida, s/n","Setor Central","(63) 3542-1073","semec.silvanopolis@bol.com.br"
"Sítio Novo do Tocantins","Biblioteca Pública Municipal Castro Alves","Municipal","Avenida 31 de Março, 803","Centro","",""
"Sucupira","Biblioteca Pública Municipal Jornalista Jaime Câmara","Municipal","Avenida Teotônio Segurado, s/n","Centro","(63)3218-5158",""
"Não identificado","Biblioteca Pública Municipal de Sucupira ","Municipal","Avenida Ipê, s/n","Centro","(63)3399-1123",""
"Taguatinga","Biblioteca Pública Municipal Felipa Cavalcante de Almeida","Municipal","Praça Valdemar Carlos de França, s/n","Centro","(63)3654-1246",""
"Taipas do Tocantins","Biblioteca Pública Municipal Rui Barbosa ","Municipal","Rua Serafim Teles, s/n","Centro","(63)3382-1110",""
"Talismã","Biblioteca Pública Municipal Eva Maria dos Santos ","Municipal","Rua Seis, s/n","Centro","",""
"Tocantínia","Bibloteca Pública Municipal Antônio Benvindo","Municipal","","","",""
"Tocantinópolis","Biblioteca Pública Munincipal de Tocantinópolis","Municipal","","","",""
"Tupirama","Biblioteca Pública Munincipal Ana Brito Miranda ","Municipal","Rua José Costa Soares, 06","","(63)3497-1104",""
"Tupiratins","Biblioteca Pública Munincipal de Tupiratins","Municipal","Avenida Tocantins 1","Setor Central","(63)3449-1112","biblioteca-pmt@hotmail.com"
"Wanderlândia","Biblioteca Pública  Municipal Jaqueline A","Municipal","Rua Gomes Calado,310","Centro","",""
"Xambioá","Biblioteca Pública Municipal Professora Nazaré Resplandes","Municipal","Rua João Saraiva dos Santos, 48","Centro","(63)8122-7788",""
